Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,comf_religion,comf_science,comf_healthcare,comf_community,comf_firefighter,comf_police,comf_gun,comf_immigration,comf_media,comf_voting,OpenEnded,END QUESTIONNAIRE
1,1729272663646,18/10/2024 17:31:03,1729272664032,-5,18/10/2024 12:31:04,187086,12,questionnaire-xwu3,,40753693,5cmmyec6,11890113,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x633,,,,Purpose/Comfort Exit Questions,3,No,1,7,3,7,7,4,1,7,1,7,how people felt about some of the major topics at this time,76942
1,1729272670490,18/10/2024 17:31:10,1729272670333,-7,18/10/2024 10:31:10,187086,12,questionnaire-xwu3,,40753711,ncv7jrkd,11890248,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 116.0,1512x945,1145x635,,,,Purpose/Comfort Exit Questions,3,No,1,5,6,7,7,5,3,2,1,1,political leaning survey,48200
1,1729272704349,18/10/2024 17:31:44,1729272705082,-4,18/10/2024 13:31:45,187086,12,questionnaire-xwu3,,40753756,73dv3b55,11890159,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,,Purpose/Comfort Exit Questions,3,No,1,7,4,6,7,1,1,5,1,6,not too sure,21842
1,1729272719156,18/10/2024 17:31:59,1729272718975,-5,18/10/2024 12:31:58,187086,12,questionnaire-xwu3,,40753789,c60icbtg,11890180,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1920x1080,1920x844,,,,Purpose/Comfort Exit Questions,3,No,5,7,7,3,7,3,1,6,1,7,thoughts of current topics,50812
1,1729272722506,18/10/2024 17:32:02,1729272722271,-4,18/10/2024 13:32:02,187086,12,questionnaire-xwu3,,40753792,8u2upptr,11890115,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x953,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,3,1,1,2,To determine how politics effect our opinions,46394
1,1729272725526,18/10/2024 17:32:05,1729272726605,-4,18/10/2024 13:32:06,187086,12,questionnaire-xwu3,,40753798,9ia4qhqi,11890259,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1280x720,1280x567,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,I don't know,31680
1,1729272756605,18/10/2024 17:32:36,1729272756531,-4,18/10/2024 13:32:36,187086,12,questionnaire-xwu3,,40753847,70d2fijw,11890545,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x703,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,"to create a link between two things that aren't related, like most research. ",62697
1,1729272757934,18/10/2024 17:32:37,1729272755292,-5,18/10/2024 12:32:35,187086,12,questionnaire-xwu3,,40753848,ql9oco1g,11890172,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,2560x1440,2560x1285,,,,Purpose/Comfort Exit Questions,3,No,5,7,5,7,7,2,3,3,2,7,How people feel about different things such as voting and police.,31753
1,1729272762702,18/10/2024 17:32:42,1729272762480,-5,18/10/2024 12:32:42,187086,12,questionnaire-xwu3,,40753853,uojvreod,11890215,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1920x1080,1920x927,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,Assessing people's opinions of social topics,88218
1,1729272770566,18/10/2024 17:32:50,1729272770979,-5,18/10/2024 12:32:50,187086,12,questionnaire-xwu3,,40753865,6bc3suhi,11890233,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1342x634,,,,Purpose/Comfort Exit Questions,3,No,4,6,7,4,7,7,7,7,7,7,don't care,52121
1,1729272776536,18/10/2024 17:32:56,1729272775144,5,18/10/2024 22:32:55,187086,12,questionnaire-xwu3,,40753870,47htd9vn,11890300,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x589,,,,Purpose/Comfort Exit Questions,3,No,5,4,5,5,5,5,4,4,4,4,To know how people think aboiut different ideas ,37791
1,1729272932577,18/10/2024 17:35:32,1729272929956,-4,18/10/2024 13:35:29,187086,12,questionnaire-xwu3,,40754059,1vag62ya,11890179,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1530x736,,,,Purpose/Comfort Exit Questions,3,No,1,1,6,1,6,1,1,1,1,1,"To gauge our beliefs and opinions on police, religion, firefighters, voting etc.",52603
1,1729272933529,18/10/2024 17:35:33,1729272933645,-4,18/10/2024 13:35:33,187086,12,questionnaire-xwu3,,40754060,fq7alkpe,11890324,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x915,,,,Purpose/Comfort Exit Questions,3,No,5,5,5,5,6,5,6,6,6,6,Don't know,32534
1,1729272937815,18/10/2024 17:35:37,1729272938497,-5,18/10/2024 12:35:38,187086,12,questionnaire-xwu3,,40754064,esj5sdak,11890122,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x957,,,,Purpose/Comfort Exit Questions,3,No,3,7,3,4,5,5,4,2,3,3,"trying to see how ""divided"" people are these days by political issues",72023
1,1729272940783,18/10/2024 17:35:40,1729272940668,-4,18/10/2024 13:35:40,187086,12,questionnaire-xwu3,,40754070,pli9ka33,11890121,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 129.0.0.0,1920x1080,1852x977,,,,Purpose/Comfort Exit Questions,3,No,6,7,3,5,7,2,2,1,3,5,I think the purpose was to see how much people support different social issues.,103271
1,1729272976085,18/10/2024 17:36:16,1729272974490,-4,18/10/2024 13:36:14,187086,12,questionnaire-xwu3,,40754121,15o7kt4p,11890117,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1440x900,1440x710,,,,Purpose/Comfort Exit Questions,3,No,3,7,7,7,6,2,6,5,7,7,My opioins of various societal topics.,63619
1,1729273017506,18/10/2024 17:36:57,1729273016671,-4,18/10/2024 13:36:56,187086,12,questionnaire-xwu3,,40754151,u5l2m6te,11890330,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1280x720,1280x595,,,,Purpose/Comfort Exit Questions,3,No,1,6,6,5,5,1,1,5,2,3,how we feels about political issues,178737
1,1729273019061,18/10/2024 17:36:59,1729273018965,-5,18/10/2024 12:36:58,187086,12,questionnaire-xwu3,,40754155,cdvnki0x,11890457,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x964,,,,Purpose/Comfort Exit Questions,3,No,2,4,2,3,6,5,6,5,4,5,"A variety of things, both personal and otherwise.",79173
1,1729273027023,18/10/2024 17:37:07,1729273027682,1,18/10/2024 18:37:07,187086,12,questionnaire-xwu3,,40754158,fzma2jha,11890417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1280x720,1328x1198,,,,Purpose/Comfort Exit Questions,3,No,6,6,6,5,6,6,6,6,6,6,personal opinions on social responses ,43846
1,1729273046107,18/10/2024 17:37:26,1729273043158,-4,18/10/2024 13:37:23,187086,12,questionnaire-xwu3,,40754184,7s77kt6b,11890276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x730,,,,Purpose/Comfort Exit Questions,3,No,3,6,5,5,5,3,2,1,2,5,I don't know,39125
1,1729273051961,18/10/2024 17:37:31,1729273051819,-5,18/10/2024 12:37:31,187086,12,questionnaire-xwu3,,40754186,obq5knlb,11890430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,,Purpose/Comfort Exit Questions,3,No,5,3,5,5,3,5,3,6,5,5,Understanding Public Perceptions and attitude,54992
1,1729273125298,18/10/2024 17:38:45,1729273123185,-4,18/10/2024 13:38:43,187086,12,questionnaire-xwu3,,40754279,rhab4nvw,11890391,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x615,,,,Purpose/Comfort Exit Questions,3,No,6,6,7,7,7,7,5,6,5,6,The purpose of this study is to take a closer look at social factors.,103917
1,1729273127559,18/10/2024 17:38:47,1729273127626,-4,18/10/2024 13:38:47,187086,12,questionnaire-xwu3,,40754283,sporvtzq,11890274,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1280x551,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,To see how people view things that go on in the United States ,46785
1,1729273132003,18/10/2024 17:38:52,1729273131267,-4,18/10/2024 13:38:51,187086,12,questionnaire-xwu3,,40754285,vw9o8sh8,11890363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x645,,,,Purpose/Comfort Exit Questions,3,No,5,6,7,6,7,5,2,5,6,6,To get my opinion on some specific things.,84803
