Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
4,1673632429789,13/01/2023 17:53:49,1673632429788,-5,13/01/2023 12:53:49,109726,5,questionnaire-1swd,,26371062,BLIND,7784385,,complete,hcntyp,3D3VGR7TA0FXX6SEFZ65YY7E31PR3N,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,,Consent_Form,2,No,Consent3,1
5,1673632429789,13/01/2023 17:53:49,1673632429788,-5,13/01/2023 12:53:49,109726,5,questionnaire-1swd,,26371062,BLIND,7784385,,complete,hcntyp,3D3VGR7TA0FXX6SEFZ65YY7E31PR3N,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x625,,Consent_Form,2,No,END QUESTIONNAIRE,37353
1,1673632689633,13/01/2023 17:58:09,1673632688946,-5,13/01/2023 12:58:08,109726,5,questionnaire-1swd,,26371165,BLIND,7784411,,complete,rrbmxp,3U84XHCDICDRHTX9PU51U61JQJ54ZH,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1052x959,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632699060,13/01/2023 17:58:19,1673632698443,-5,13/01/2023 12:58:18,109726,5,questionnaire-1swd,,26371165,BLIND,7784411,,complete,rrbmxp,3U84XHCDICDRHTX9PU51U61JQJ54ZH,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1035x959,,Consent_Form,2,No,Consent1,1
3,1673632699205,13/01/2023 17:58:19,1673632698446,-5,13/01/2023 12:58:18,109726,5,questionnaire-1swd,,26371165,BLIND,7784411,,complete,rrbmxp,3U84XHCDICDRHTX9PU51U61JQJ54ZH,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1035x959,,Consent_Form,2,No,Consent2,1
4,1673632699205,13/01/2023 17:58:19,1673632698446,-5,13/01/2023 12:58:18,109726,5,questionnaire-1swd,,26371165,BLIND,7784411,,complete,rrbmxp,3U84XHCDICDRHTX9PU51U61JQJ54ZH,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1035x959,,Consent_Form,2,No,Consent3,1
5,1673632699205,13/01/2023 17:58:19,1673632698446,-5,13/01/2023 12:58:18,109726,5,questionnaire-1swd,,26371165,BLIND,7784411,,complete,rrbmxp,3U84XHCDICDRHTX9PU51U61JQJ54ZH,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1035x959,,Consent_Form,2,No,END QUESTIONNAIRE,9500
1,1673632741815,13/01/2023 17:59:01,1673632741671,-5,13/01/2023 12:59:01,109726,5,questionnaire-1swd,,26371188,BLIND,7784421,,complete,dfdplv,3WR9XG3T63B8XJR36ZDI3M8KGQS74S,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1304x697,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632758148,13/01/2023 17:59:18,1673632757838,-5,13/01/2023 12:59:17,109726,5,questionnaire-1swd,,26371188,BLIND,7784421,,complete,dfdplv,3WR9XG3T63B8XJR36ZDI3M8KGQS74S,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1287x697,,Consent_Form,2,No,Consent1,1
3,1673632758309,13/01/2023 17:59:18,1673632757842,-5,13/01/2023 12:59:17,109726,5,questionnaire-1swd,,26371188,BLIND,7784421,,complete,dfdplv,3WR9XG3T63B8XJR36ZDI3M8KGQS74S,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1287x697,,Consent_Form,2,No,Consent2,1
