,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
380,9852801.0,STR,Emma,In,1.0,Punish
381,9852801.0,DIR,Yuxi,Out,2.0,Reward
382,9852801.0,DIR,Emma,In,1.0,Punish
383,9852801.0,STR,Yuxi,Out,2.0,Reward
384,9852801.0,INT,Yuxi,Out,2.0,Reward
385,9852801.0,STR,Emma,In,1.0,Punish
386,9852801.0,DIR,Yuxi,Out,2.0,Reward
387,9852801.0,INT,Emma,In,1.0,Reward
388,9852801.0,STR,Yuxi,Out,2.0,Punish
389,9852801.0,INT,Emma,In,1.0,Punish
390,9852801.0,DIR,Emma,In,1.0,Reward
391,9852801.0,STR,Yuxi,Out,2.0,Punish
392,9852801.0,INT,Yuxi,Out,2.0,Punish
393,9852801.0,DIR,Emma,In,1.0,Punish
394,9852801.0,DIR,Yuxi,Out,2.0,Reward
395,9852801.0,INT,Emma,In,1.0,Reward
396,9852801.0,STR,Emma,In,1.0,Reward
397,9852801.0,INT,Yuxi,Out,2.0,Reward
398,9852801.0,,,,,40-60
399,9852845.0,STR,Emma,In,1.0,Punish
400,9852845.0,DIR,Yuxi,Out,2.0,Punish
401,9852845.0,DIR,Emma,In,1.0,Punish
402,9852845.0,STR,Yuxi,Out,2.0,Punish
403,9852845.0,INT,Yuxi,Out,2.0,Punish
404,9852845.0,STR,Emma,In,1.0,Punish
405,9852845.0,DIR,Yuxi,Out,2.0,Punish
406,9852845.0,INT,Emma,In,1.0,Punish
407,9852845.0,STR,Yuxi,Out,2.0,Reward
408,9852845.0,INT,Emma,In,1.0,Reward
409,9852845.0,DIR,Emma,In,1.0,Reward
410,9852845.0,STR,Yuxi,Out,2.0,Reward
411,9852845.0,INT,Yuxi,Out,2.0,Reward
412,9852845.0,DIR,Emma,In,1.0,Reward
413,9852845.0,DIR,Yuxi,Out,2.0,Reward
414,9852845.0,INT,Emma,In,1.0,Reward
415,9852845.0,STR,Emma,In,1.0,Reward
416,9852845.0,INT,Yuxi,Out,2.0,Reward
417,9852845.0,,,,,60-40
418,9362250.0,STR,Haoyu,Out,2.0,Reward
419,9362250.0,DIR,Jack,In,1.0,Reward
420,9362250.0,DIR,Haoyu,Out,2.0,Reward
421,9362250.0,STR,Jack,In,1.0,Reward
422,9362250.0,INT,Jack,In,1.0,Reward
423,9362250.0,STR,Haoyu,Out,2.0,Reward
424,9362250.0,DIR,Jack,In,1.0,Reward
425,9362250.0,INT,Haoyu,Out,2.0,Reward
426,9362250.0,STR,Jack,In,1.0,Reward
427,9362250.0,INT,Haoyu,Out,2.0,Reward
428,9362250.0,DIR,Haoyu,Out,2.0,Punish
429,9362250.0,STR,Jack,In,1.0,Punish
430,9362250.0,INT,Jack,In,1.0,Punish
431,9362250.0,DIR,Haoyu,Out,2.0,Punish
432,9362250.0,DIR,Jack,In,1.0,Punish
433,9362250.0,INT,Haoyu,Out,2.0,Punish
434,9362250.0,STR,Haoyu,Out,2.0,Punish
435,9362250.0,INT,Jack,In,1.0,Punish
436,9362250.0,,,,,40-60
437,9362335.0,STR,Haoyu,Out,2.0,Punish
438,9362335.0,DIR,Jack,In,1.0,Reward
439,9362335.0,DIR,Haoyu,Out,2.0,Reward
440,9362335.0,STR,Jack,In,1.0,Punish
441,9362335.0,INT,Jack,In,1.0,Reward
442,9362335.0,STR,Haoyu,Out,2.0,Reward
443,9362335.0,DIR,Jack,In,1.0,Punish
444,9362335.0,INT,Haoyu,Out,2.0,Reward
445,9362335.0,STR,Jack,In,1.0,Punish
446,9362335.0,INT,Haoyu,Out,2.0,Reward
447,9362335.0,DIR,Haoyu,Out,2.0,Reward
448,9362335.0,STR,Jack,In,1.0,Punish
449,9362335.0,INT,Jack,In,1.0,Reward
450,9362335.0,DIR,Haoyu,Out,2.0,Punish
451,9362335.0,DIR,Jack,In,1.0,Reward
452,9362335.0,INT,Haoyu,Out,2.0,Reward
453,9362335.0,STR,Haoyu,Out,2.0,Punish
454,9362335.0,INT,Jack,In,1.0,Punish
455,9362335.0,,,,,60-40
456,9362323.0,STR,Haoyu,Out,2.0,Punish
457,9362323.0,DIR,Jack,In,1.0,Punish
458,9362323.0,DIR,Haoyu,Out,2.0,Reward
459,9362323.0,STR,Jack,In,1.0,Reward
460,9362323.0,INT,Jack,In,1.0,Punish
461,9362323.0,STR,Haoyu,Out,2.0,Reward
462,9362323.0,DIR,Jack,In,1.0,Reward
463,9362323.0,INT,Haoyu,Out,2.0,Punish
464,9362323.0,STR,Jack,In,1.0,Reward
465,9362323.0,INT,Haoyu,Out,2.0,Reward
466,9362323.0,DIR,Haoyu,Out,2.0,Punish
467,9362323.0,STR,Jack,In,1.0,Reward
468,9362323.0,INT,Jack,In,1.0,Punish
469,9362323.0,DIR,Haoyu,Out,2.0,Reward
470,9362323.0,DIR,Jack,In,1.0,Punish
471,9362323.0,INT,Haoyu,Out,2.0,Reward
472,9362323.0,STR,Haoyu,Out,2.0,Punish
473,9362323.0,INT,Jack,In,1.0,Reward
474,9362323.0,,,,,40-60
475,9362330.0,STR,Haoyu,Out,2.0,Reward
476,9362330.0,DIR,Jack,In,1.0,Reward
477,9362330.0,DIR,Haoyu,Out,2.0,Reward
478,9362330.0,STR,Jack,In,1.0,Punish
479,9362330.0,INT,Jack,In,1.0,Punish
480,9362330.0,STR,Haoyu,Out,2.0,Punish
481,9362330.0,DIR,Jack,In,1.0,Punish
482,9362330.0,INT,Haoyu,Out,2.0,Punish
483,9362330.0,STR,Jack,In,1.0,Reward
484,9362330.0,INT,Haoyu,Out,2.0,Reward
485,9362330.0,DIR,Haoyu,Out,2.0,Punish
486,9362330.0,STR,Jack,In,1.0,Punish
487,9362330.0,INT,Jack,In,1.0,Reward
488,9362330.0,DIR,Haoyu,Out,2.0,Reward
489,9362330.0,DIR,Jack,In,1.0,Reward
490,9362330.0,INT,Haoyu,Out,2.0,Punish
491,9362330.0,STR,Haoyu,Out,2.0,Reward
492,9362330.0,INT,Jack,In,1.0,Reward
493,9362330.0,,,,,40-60
494,9362328.0,STR,Haoyu,Out,2.0,Reward
495,9362328.0,DIR,Jack,In,1.0,Reward
496,9362328.0,DIR,Haoyu,Out,2.0,Punish
497,9362328.0,STR,Jack,In,1.0,Punish
498,9362328.0,INT,Jack,In,1.0,Reward
499,9362328.0,STR,Haoyu,Out,2.0,Punish
500,9362328.0,DIR,Jack,In,1.0,Reward
501,9362328.0,INT,Haoyu,Out,2.0,Reward
502,9362328.0,STR,Jack,In,1.0,Reward
503,9362328.0,INT,Haoyu,Out,2.0,Punish
504,9362328.0,DIR,Haoyu,Out,2.0,Reward
505,9362328.0,STR,Jack,In,1.0,Punish
506,9362328.0,INT,Jack,In,1.0,Reward
507,9362328.0,DIR,Haoyu,Out,2.0,Punish
508,9362328.0,DIR,Jack,In,1.0,Reward
509,9362328.0,INT,Haoyu,Out,2.0,Reward
510,9362328.0,STR,Haoyu,Out,2.0,Punish
511,9362328.0,INT,Jack,In,1.0,Punish
512,9362328.0,,,,,60-40
513,9852775.0,STR,Haoyu,Out,2.0,Reward
514,9852775.0,DIR,Jack,In,1.0,Punish
515,9852775.0,DIR,Haoyu,Out,2.0,Reward
516,9852775.0,STR,Jack,In,1.0,Reward
517,9852775.0,INT,Jack,In,1.0,Reward
518,9852775.0,STR,Haoyu,Out,2.0,Punish
519,9852775.0,DIR,Jack,In,1.0,Reward
520,9852775.0,INT,Haoyu,Out,2.0,Reward
521,9852775.0,STR,Jack,In,1.0,Punish
522,9852775.0,INT,Haoyu,Out,2.0,Reward
523,9852775.0,DIR,Haoyu,Out,2.0,Reward
