Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
5,1674074265271,18/01/2023 20:37:45,1674074265691,-5,18/01/2023 15:37:45,110083,9,questionnaire-faea,,26470401,BLIND,7814301,,complete,giqzdt,3NGMS9VZTRT3KQV62361WWOJFKBFFF,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1600x900,1584x789,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,34827
1,1674074254381,18/01/2023 20:37:34,1674074254343,-7,18/01/2023 13:37:34,110083,9,questionnaire-faea,,26470424,BLIND,7814364,,complete,ytyhyc,30ZX6P7VFE6ZOY5QXYIFRBMMZNO2JM,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x714,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074277102,18/01/2023 20:37:57,1674074277120,-7,18/01/2023 13:37:57,110083,9,questionnaire-faea,,26470424,BLIND,7814364,,complete,ytyhyc,30ZX6P7VFE6ZOY5QXYIFRBMMZNO2JM,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,4
3,1674074277283,18/01/2023 20:37:57,1674074277121,-7,18/01/2023 13:37:57,110083,9,questionnaire-faea,,26470424,BLIND,7814364,,complete,ytyhyc,30ZX6P7VFE6ZOY5QXYIFRBMMZNO2JM,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,4
4,1674074277283,18/01/2023 20:37:57,1674074277121,-7,18/01/2023 13:37:57,110083,9,questionnaire-faea,,26470424,BLIND,7814364,,complete,ytyhyc,30ZX6P7VFE6ZOY5QXYIFRBMMZNO2JM,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,4
5,1674074277283,18/01/2023 20:37:57,1674074277121,-7,18/01/2023 13:37:57,110083,9,questionnaire-faea,,26470424,BLIND,7814364,,complete,ytyhyc,30ZX6P7VFE6ZOY5QXYIFRBMMZNO2JM,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,22778
1,1674074255989,18/01/2023 20:37:35,1674074255506,-9,18/01/2023 11:37:35,110083,9,questionnaire-faea,,26470426,BLIND,7814307,,complete,pcbfxq,3YDGXNSEO55K7VOUA84CV0A63QQ480,computer,Desktop or Laptop,Chromium OS 15183.59.0,Chrome 108.0.0.0,1616x909,1616x759,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074276740,18/01/2023 20:37:56,1674074275966,-9,18/01/2023 11:37:55,110083,9,questionnaire-faea,,26470426,BLIND,7814307,,complete,pcbfxq,3YDGXNSEO55K7VOUA84CV0A63QQ480,computer,Desktop or Laptop,Chromium OS 15183.59.0,Chrome 108.0.0.0,1616x909,1616x759,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,5
3,1674074276987,18/01/2023 20:37:56,1674074275967,-9,18/01/2023 11:37:55,110083,9,questionnaire-faea,,26470426,BLIND,7814307,,complete,pcbfxq,3YDGXNSEO55K7VOUA84CV0A63QQ480,computer,Desktop or Laptop,Chromium OS 15183.59.0,Chrome 108.0.0.0,1616x909,1616x759,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,4
4,1674074276987,18/01/2023 20:37:56,1674074275967,-9,18/01/2023 11:37:55,110083,9,questionnaire-faea,,26470426,BLIND,7814307,,complete,pcbfxq,3YDGXNSEO55K7VOUA84CV0A63QQ480,computer,Desktop or Laptop,Chromium OS 15183.59.0,Chrome 108.0.0.0,1616x909,1616x759,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,1
